Year,Year Code,Country Name,Country Code,"Population ages 15-19, female (% of female population) [SP.POP.1519.FE.5Y]","Population ages 20-24, female (% of female population) [SP.POP.2024.FE.5Y]","Population ages 25-29, female (% of female population) [SP.POP.2529.FE.5Y]","Population ages 30-34, female (% of female population) [SP.POP.3034.FE.5Y]","Population ages 35-39, female (% of female population) [SP.POP.3539.FE.5Y]","Population ages 40-44, female (% of female population) [SP.POP.4044.FE.5Y]","Population ages 45-49, female (% of female population) [SP.POP.4549.FE.5Y]",Fertility_Population
2015,YR2015,Togo,TGO,10.16611271,8.855743266,7.984412086,6.926603187,5.843882219,4.707843512,3.70082621,48.18542319
2015,YR2015,Tonga,TON,10.31790927,8.905607723,6.265791756,6.190368443,5.760455557,5.585096353,4.549911378,47.57514048
2015,YR2015,Trinidad and Tobago,TTO,6.196907134,6.945377755,8.381506665,9.267276725,7.454082336,6.726221145,6.272813695,51.24418546
2015,YR2015,Tunisia,TUN,7.071027814,8.048759832,8.977818285,8.710271473,7.714216732,6.634508682,6.685426563,53.84202938
2015,YR2015,Turkey,TUR,8.241033675,7.844902427,7.893096489,7.936578264,7.537942514,6.906000835,6.068627127,52.42818133
2015,YR2015,Turkmenistan,TKM,8.159216483,9.723808142,9.406769762,7.853433904,6.91555672,5.930072455,5.316241978,53.30509944
2015,YR2015,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,0
2015,YR2015,Tuvalu,TUV,..,..,..,..,..,..,..,0
2015,YR2015,Uganda,UGA,11.07767061,9.161279608,7.4056494,5.99954486,4.789894911,3.690908602,2.760997109,44.8859451
2015,YR2015,Ukraine,UKR,4.297510161,5.534461752,7.288491373,7.484842477,7.185975823,6.740136214,6.366600771,44.89801857
2015,YR2015,United Arab Emirates,ARE,6.485570928,7.519607999,11.4731237,13.93110133,12.25630524,9.239045806,6.048830229,66.95358522
2015,YR2015,United Kingdom,GBR,5.565552543,6.168925657,6.673352721,6.676467399,6.333644781,6.470669503,7.110405653,44.99901826
2015,YR2015,United States,USA,6.445993454,6.936272731,6.810078491,6.523875898,6.227530431,6.222015163,6.400021749,45.56578792
2015,YR2015,Upper middle income,UMC,6.537552853,7.513859545,8.879127841,7.703873416,7.127829621,7.670425165,7.635147388,53.06781583
2015,YR2015,Uruguay,URY,7.13210959,7.236607508,6.76645138,6.310322197,6.738791824,6.370147959,5.820111483,46.37454194
2015,YR2015,Uzbekistan,UZB,8.834992378,10.04465919,9.776064527,8.330236961,6.945114387,6.120755388,5.390854257,55.44267708
2015,YR2015,Vanuatu,VUT,9.532451224,9.030904469,9.050047475,7.424423413,6.081350118,5.153297191,4.639498913,50.9119728
2015,YR2015,"Venezuela, RB",VEN,8.744801731,8.645881455,8.486183538,7.670722494,6.938527073,6.140344317,5.96672405,52.59318466
2015,YR2015,Vietnam,VNM,7.179536806,9.136427457,9.083340992,8.392379505,7.61045011,7.064435418,6.393217198,54.85978749
2015,YR2015,Virgin Islands (U.S.),VIR,6.094717668,6.063752277,4.97996357,5.333333333,5.646630237,6.158469945,6.976320583,41.25318761
2015,YR2015,West Bank and Gaza,PSE,11.30695644,10.32408906,8.201614223,6.563850045,5.53664115,4.524009692,3.783649947,50.24081056
2015,YR2015,World,WLD,7.856619241,7.976566884,8.18639998,7.444035288,6.754466876,6.556873433,6.187316195,50.9622779
2015,YR2015,"Yemen, Rep.",YEM,11.1264047,10.69799986,8.961550281,7.083035063,5.340645116,3.70280112,3.207707968,50.12014411
2015,YR2015,Zambia,ZMB,11.15567478,9.250343832,7.782697231,6.516141844,5.347944014,4.096464614,2.956446426,47.10571274
2015,YR2015,Zimbabwe,ZWE,10.47049067,9.854317993,9.128655091,8.035246766,6.079275715,4.116896745,2.924912644,50.60979562
